metric,n_obs,r_response,r_log,rmse,mae,r2_response,r2_log,insample_devexpl
abs_d_lambda,207047,0.5530368492618497,0.6065816589454031,0.01774671391568827,0.006627055485868499,0.30584975664147385,0.36794130896895727,87.1
abs_d_matched_rate,207047,0.5086647081163577,0.636095562399614,0.017572796535344437,0.005616444210111438,0.2587397852830993,0.40461756450448116,86.9
abs_d_rate,207047,0.3833351269987405,0.49610641967919133,0.027537092664588533,0.013613768275757753,0.1469458195911405,0.24612157964690592,71.4
