config,n_species,n_rows,dev_expl,r_sq_adj,surface_r
3-day step,28,503678,86.91,0.7112,0.9787
7-day step (baseline),29,218663,86.96,0.6859,1
14-day step,29,111249,86.92,0.6979,0.9976
